日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2016-03-02,'399300,沪深300,3051.333,3054.724,2933.116,2933.921,2930.694,120.639,4.1164,17597234700,1.64025161471e+11
2016-03-01,'399300,沪深300,2930.694,2950.436,2863.323,2881.335,2877.467,53.227,1.8498,11604591800,1.10491037808e+11
2016-02-29,'399300,沪深300,2877.467,2939.875,2821.215,2939.58,2948.031,-70.564,-2.3936,12934102000,1.18440829598e+11
2016-02-26,'399300,沪深300,2948.031,2964.385,2902.948,2942.095,2918.75,29.281,1.0032,10694972900,1.02531571946e+11
2016-02-25,'399300,沪深300,2918.75,3104.436,2905.457,3104.41,3109.545,-190.795,-6.1358,15782975200,1.53493008194e+11
2016-02-24,'399300,沪深300,3109.545,3109.545,3055.251,3077.606,3089.363,20.182,0.6533,11178265000,1.12918607549e+11
2016-02-23,'399300,沪深300,3089.363,3119.221,3061.429,3117.203,3118.868,-29.505,-0.946,11256739100,1.17476469063e+11
2016-02-22,'399300,沪深300,3118.868,3128.207,3071.329,3083.933,3051.585,67.283,2.2049,14094696800,1.41684080627e+11
2016-02-19,'399300,沪深300,3051.585,3065.968,3032.634,3047.942,3053.699,-2.114,-0.0692,8733801200,90849341804.0
2016-02-18,'399300,沪深300,3053.699,3093.513,3049.841,3079.527,3063.32,-9.621,-0.3141,12440146400,1.22618612161e+11
2016-02-17,'399300,沪深300,3063.32,3065.785,3027.046,3034.09,3037.035,26.285,0.8655,12829160700,1.22279340234e+11
2016-02-16,'399300,沪深300,3037.035,3042.089,2962.187,2962.187,2946.707,90.328,3.0654,11257964300,1.12300492317e+11
2016-02-15,'399300,沪深300,2946.707,2961.493,2886.018,2888.428,2963.789,-17.082,-0.5764,7291943400,71285049141.0
2016-02-05,'399300,沪深300,2963.789,2988.36,2962.847,2982.056,2984.76,-20.971,-0.7026,7685080800,77443222334.0
2016-02-04,'399300,沪深300,2984.76,2999.206,2960.207,2960.334,2948.639,36.121,1.225,9177972400,91550346872.0
2016-02-03,'399300,沪深300,2948.639,2954.71,2909.898,2931.288,2961.334,-12.695,-0.4287,7738900000,74817092259.0
2016-02-02,'399300,沪深300,2961.334,2972.426,2901.512,2901.528,2901.048,60.286,2.0781,8860196300,88740230428.0
2016-02-01,'399300,沪深300,2901.048,2944.517,2869.561,2939.04,2946.09,-45.042,-1.5289,8679534200,82931453498.0
2016-01-29,'399300,沪深300,2946.09,2965.309,2854.371,2855.598,2853.756,92.334,3.2355,11330425900,1.0946235668e+11
2016-01-28,'399300,沪深300,2853.756,2941.887,2841.844,2909.334,2930.352,-76.596,-2.6139,9922275600,95663874927.0
2016-01-27,'399300,沪深300,2930.352,2963.544,2839.29,2953.183,2940.509,-10.157,-0.3454,13222936600,1.26997670778e+11
2016-01-26,'399300,沪深300,2940.509,3106.53,2934.647,3099.596,3128.886,-188.377,-6.0206,12693392100,1.27250652518e+11
2016-01-25,'399300,沪深300,3128.886,3149.332,3105.1,3129.028,3113.463,15.423,0.4954,8154006100,85777891364.0
2016-01-22,'399300,沪深300,3113.463,3132.171,3053.958,3114.895,3081.345,32.118,1.0423,8995108700,96885673842.0
2016-01-21,'399300,沪深300,3081.345,3202.538,3081.345,3136.384,3174.378,-93.033,-2.9307,11118973300,1.21856195433e+11
2016-01-20,'399300,沪深300,3174.378,3225.95,3154.426,3204.218,3223.125,-48.747,-1.5124,13065050400,1.43313337192e+11
2016-01-19,'399300,沪深300,3223.125,3227.908,3119.216,3132.705,3130.729,92.396,2.9513,12765389300,1.42907686296e+11
