Date,Open,High,Low,Close,Volume,Adj Close
2015-09-16,2.169,2.285,2.143,2.242,623954100,2.242
2015-09-15,2.18,2.189,2.146,2.167,742104900,2.167
2015-09-14,2.21,2.225,2.122,2.223,868275400,2.223
2015-09-11,2.205,2.22,2.184,2.193,420897900,2.193
2015-09-10,2.182,2.219,2.178,2.206,638374500,2.206
2015-09-09,2.197,2.228,2.178,2.209,777486500,2.209
2015-09-08,2.12,2.188,2.085,2.177,882662700,2.177
2015-09-07,2.216,2.255,2.133,2.14,701801800,2.14
2015-09-02,2.145,2.247,2.142,2.236,1775174000,2.236
2015-09-01,2.152,2.244,2.103,2.228,1786786200,2.228
2015-08-31,2.137,2.213,2.076,2.209,1253607600,2.209
2015-08-28,2.14,2.174,2.097,2.168,1788366000,2.168
2015-08-27,1.998,2.12,1.962,2.11,1705422400,2.11
2015-08-26,1.939,2.034,1.879,1.946,2464277200,1.946
2015-08-25,1.942,2.05,1.869,1.886,1963701200,1.886
2015-08-24,2.216,2.216,2.047,2.047,1018573300,2.047
2015-08-21,2.333,2.362,2.267,2.274,1020528200,2.274
2015-08-20,2.401,2.42,2.36,2.361,701199300,2.361
2015-08-19,2.397,2.44,2.328,2.427,1451342700,2.427
2015-08-18,2.55,2.571,2.39,2.41,857814700,2.41
2015-08-17,2.56,2.561,2.524,2.548,483713500,2.548
2015-08-14,2.585,2.591,2.564,2.575,561500700,2.575
2015-08-13,2.561,2.585,2.523,2.576,661136200,2.576
2015-08-12,2.568,2.60,2.556,2.564,547843100,2.564
2015-08-11,2.618,2.619,2.577,2.59,458023700,2.59
2015-08-10,2.522,2.63,2.515,2.616,703324900,2.616
2015-08-07,2.492,2.522,2.48,2.504,702485300,2.504
2015-08-06,2.466,2.508,2.451,2.471,654783800,2.471
2015-08-05,2.529,2.535,2.489,2.491,647448200,2.491
2015-08-04,2.488,2.542,2.467,2.54,689233500,2.54
2015-08-03,2.44,2.479,2.42,2.478,728000400,2.478
2015-07-31,2.46,2.496,2.436,2.462,926730200,2.462
2015-07-30,2.524,2.548,2.46,2.47,908665300,2.47
2015-07-29,2.50,2.54,2.462,2.535,1093043700,2.535
2015-07-28,2.444,2.531,2.406,2.483,2612182200,2.483
2015-07-27,2.721,2.722,2.49,2.493,1379427000,2.493
2015-07-24,2.791,2.805,2.734,2.745,1092095300,2.745
2015-07-23,2.737,2.796,2.737,2.794,1337961100,2.794
2015-07-22,2.755,2.77,2.72,2.737,854165000,2.737
2015-07-21,2.731,2.80,2.731,2.768,1021324900,2.768
2015-07-20,2.794,2.812,2.758,2.777,1369040800,2.777
2015-07-17,2.756,2.835,2.722,2.803,1791240000,2.803
2015-07-16,2.75,2.778,2.70,2.74,2330591000,2.74
2015-07-15,2.731,2.777,2.665,2.749,2962960200,2.749
2015-07-14,2.805,2.839,2.716,2.762,2216741600,2.762
2015-07-13,2.84,2.949,2.795,2.862,2921906000,2.862
2015-07-10,2.736,3.01,2.71,2.905,4152573200,2.905
2015-07-09,2.529,2.856,2.477,2.792,3893441200,2.792
2015-07-08,2.60,2.757,2.511,2.604,7054986400,2.604
2015-07-07,2.682,2.82,2.607,2.79,6650103200,2.79
2015-07-06,2.837,2.837,2.635,2.742,9146831200,2.742
2015-07-03,2.657,2.728,2.50,2.579,4464872000,2.579
2015-07-02,2.79,2.793,2.58,2.684,5865295200,2.684
2015-07-01,2.81,2.85,2.689,2.728,4433403200,2.728
2015-06-30,2.66,2.855,2.601,2.851,6802366400,2.851
2015-06-29,2.772,2.799,2.481,2.66,7737936800,2.66
2015-06-26,2.86,2.931,2.635,2.686,4091997200,2.686
2015-06-25,3.048,3.06,2.906,2.919,2239861400,2.919
2015-06-24,2.99,3.03,2.92,3.018,2269673800,3.018
2015-06-23,2.893,2.989,2.80,2.976,2573711400,2.976
2015-06-19,3.025,3.04,2.865,2.874,2122214800,2.874
2015-06-18,3.157,3.157,3.03,3.042,1553765400,3.042
2015-06-17,3.16,3.19,3.114,3.175,2449589000,3.175
2015-06-16,3.199,3.239,3.111,3.148,2500597200,3.148
2015-06-15,3.334,3.349,3.21,3.216,2842011200,3.216
2015-06-12,3.323,3.338,3.27,3.313,1725316200,3.313
2015-06-11,3.334,3.345,3.27,3.30,2217088600,3.30
2015-06-10,3.316,3.375,3.291,3.32,1744912800,3.32
2015-06-09,3.459,3.465,3.326,3.361,3311958600,3.361
2015-06-08,3.28,3.448,3.256,3.427,3245881000,3.427
2015-06-05,3.34,3.35,3.188,3.254,1866872400,3.254
2015-06-04,3.191,3.277,3.05,3.259,2103848800,3.259
2015-06-03,3.205,3.213,3.147,3.191,1000194200,3.191
2015-06-02,3.194,3.219,3.149,3.209,1234532800,3.209
2015-06-01,3.066,3.21,3.031,3.198,1419662800,3.198
2015-05-29,3.081,3.114,2.996,3.066,1868000800,3.066
