+--------+----+----+-------+------+-------+-------+-----+
| code   | L% | P% | price | Avg% | MB    | MS    | TOR |
+--------+----+----+-------+------+-------+-------+-----+
| 000985 | 99 | 23 | 24.5  | 27   | 10000 | 10000 | 9   |
| 600326 | 99 | 30 | 13.74 | 21   | 10000 | 10000 | 11  |
| 600821 | 99 | 49 | 9.55  | 14   | 10000 | 10000 | 11  |
| 600095 | 99 | 49 | 9.78  | 0    | 10000 | 10000 | 10  |
| 002196 | 98 | 5  | 26.9  | 35   | 10000 | 10000 | 10  |
| 000833 | 97 | 32 | 14.97 | 25   | 10000 | 10000 | 11  |
| 002617 | 97 | 31 | 40.43 | 38   | 10000 | 10000 | 9   |
| 601038 | 95 | 29 | 13.79 | 3    | 10000 | 10000 | 32  |
| 600423 | 95 | 42 | 7.77  | 1    | 10000 | 10000 | 9   |
| 000701 | 95 | 22 | 20.39 | 28   | 10000 | 10000 | 9   |
| 002060 | 94 | 31 | 10.82 | 23   | 8.46  | 10000 | 9   |
| 601008 | 93 | 45 | 7.84  | -17  | 10000 | 10000 | 9   |
| 000027 | 93 | 67 | 11.55 | 36   | 10000 | 10000 | 9   |
| 002635 | 92 | 19 | 23.72 | 26   | 10000 | 10000 | 15  |
| 600980 | 92 | 18 | 25.79 | 28   | 10000 | 10000 | 12  |
| 002120 | 92 | 46 | 21.4  | 14   | 10000 | 10000 | 10  |
| 600287 | 92 | 44 | 11.82 | -10  | 10000 | 10000 | 11  |
| 600560 | 92 | 44 | 17.06 | 6    | 10000 | 10000 | 9   |
| 002461 | 92 | 7  | 23.78 | 32   | 10000 | 10000 | 9   |
| 000752 | 91 | 34 | 17.8  | 5    | 10000 | 10000 | 22  |
| 000611 | 91 | 45 | 9.81  | 14   | 10000 | 10000 | 9   |
| 600800 | 91 | 58 | 10.77 | 12   | 10000 | 10000 | 12  |
| 002176 | 90 | 38 | 24.81 | 34   | 20.33 | 10000 | 13  |
| 600630 | 90 | 27 | 15.09 | 4    | 10000 | 10000 | 10  |
| 002266 | 90 | 16 | 9.75  | 15   | 10000 | 10000 | 11  |
| 603018 | 89 | 6  | 73.42 | 10   | 10000 | 10000 | 9   |
| 600992 | 89 | 40 | 14.66 | 10   | 10000 | 10000 | 9   |
| 000507 | 88 | 38 | 8.49  | -12  | 10000 | 10000 | 9   |
| 000837 | 88 | 30 | 14.75 | 9    | 14.12 | 10000 | 9   |
| 600531 | 87 | 27 | 18.17 | 7    | 10000 | 10000 | 11  |
| 000791 | 87 | 46 | 12.21 | -11  | 10000 | 10000 | 12  |
| 600543 | 87 | 48 | 12.88 | 8    | 10000 | 10000 | 9   |
| 002392 | 86 | 0  | 8.82  | 15   | 7.55  | 10000 | 13  |
| 600505 | 85 | 33 | 11.09 | -2   | 10000 | 10000 | 12  |
| 600128 | 85 | 42 | 16.31 | 4    | 10000 | 10000 | 9   |
| 000637 | 84 | 29 | 9.15  | 6    | 10000 | 10000 | 9   |
| 002726 | 83 | 22 | 15.89 | 20   | 11.96 | 10000 | 16  |
| 002045 | 83 | 12 | 11.15 | 21   | 10000 | 10000 | 13  |
| 600814 | 83 | 31 | 12.6  | 16   | 10000 | 10000 | 10  |
| 002607 | 82 | 22 | 8.85  | 13   | 10000 | 10000 | 9   |
| 002340 | 81 | 12 | 16.1  | 23   | 15.16 | 10000 | 9   |
| 600133 | 81 | 43 | 9.38  | -8   | 10000 | 10000 | 11  |
| 600379 | 80 | 21 | 18.85 | 30   | 10000 | 10000 | 11  |
| 002606 | 80 | 39 | 16.56 | -9   | 10.88 | 10000 | 18  |
| 600234 | 80 | 43 | 19.58 | 18   | 10000 | 10000 | 17  |
| 000980 | 80 | 55 | 8.32  | 3    | 10000 | 10000 | 11  |
| 002715 | 79 | 41 | 40.97 | 18   | 10000 | 10000 | 25  |
| 000670 | 78 | 35 | 14.07 | 4    | 14.55 | 10000 | 26  |
| 000975 | 78 | 31 | 17.25 | 0    | 10000 | 10000 | 10  |
| 000011 | 77 | 40 | 12.16 | 5    | 10000 | 10000 | 11  |
| 002144 | 77 | 34 | 29.16 | 18   | 10000 | 10000 | 11  |
| 000669 | 77 | 10 | 31.35 | 2    | 37.11 | 10000 | 14  |
| 000925 | 76 | 45 | 25.44 | 0    | 10000 | 10000 | 9   |
| 002297 | 76 | 35 | 17.06 | 0    | 12.91 | 10000 | 9   |
